difficulty_rank,instance_id,repo,language,fraction_solved,n_solved,n_models_attempted,claude_45sonnet_passed,claude_opus_4_1_passed,patch_loc,files_changed,fail_to_pass_count,problem_statement_len
119,instance_flipt-io__flipt-db1c3b100e231c62f0c90c2ab037614f20a2a63b,flipt-io/flipt,go,0.5714285714285714,4,7,True,,108,3,1,972
120,instance_protonmail__webclients-8be4f6cb9380fcd2e67bcb18cef931ae0d4b869c,protonmail/webclients,js,0.5714285714285714,4,7,True,True,363,34,1,664
121,instance_internetarchive__openlibrary-7f6b722a10f822171501d027cad60afe53337732-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,python,0.5714285714285714,4,7,True,,1663,13,1,1355
122,instance_element-hq__element-web-18c03daa865d3c5b10e52b669cd50be34c67b2e5-vnan,element-hq/element-web,js,0.5555555555555556,5,9,True,True,22,1,1,1055
123,instance_qutebrowser__qutebrowser-fea33d607fde83cf505b228238cf365936437a63-v9f8e9d96c85c85a605e382f1510bd08563afc566,qutebrowser/qutebrowser,python,0.5555555555555556,5,9,True,True,22,2,1,995
124,instance_NodeBB__NodeBB-bad15643013ca15affe408b75eba9e47cc604bb2-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,js,0.5555555555555556,5,9,False,True,28,2,1,1627
125,instance_flipt-io__flipt-c12967bc73fdf02054cf3ef8498c05e25f0a18c0,flipt-io/flipt,go,0.5555555555555556,5,9,True,True,29,3,1,1758
126,instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb,internetarchive/openlibrary,python,0.5555555555555556,5,9,True,True,30,1,1,1408
127,instance_qutebrowser__qutebrowser-1a9e74bfaf9a9db2a510dc14572d33ded6040a57-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,python,0.5555555555555556,5,9,True,False,32,1,1,992
128,instance_ansible__ansible-a02e22e902a69aeb465f16bf03f7f5a91b2cb828-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,python,0.5555555555555556,5,9,True,True,35,5,1,3942
129,instance_NodeBB__NodeBB-6ea3b51f128dd270281db576a1b59270d5e45db0-vnan,NodeBB/NodeBB,js,0.5555555555555556,5,9,False,True,37,3,1,1341
130,instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,NodeBB/NodeBB,js,0.5555555555555556,5,9,False,True,37,7,1,868
131,instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a,qutebrowser/qutebrowser,python,0.5555555555555556,5,9,False,True,43,2,1,1703
132,instance_qutebrowser__qutebrowser-c580ebf0801e5a3ecabc54f327498bb753c6d5f2-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,python,0.5555555555555556,5,9,True,False,44,3,1,1444
133,instance_internetarchive__openlibrary-427f1f4eddfc54735ca451779d4f95bf683d1b0e-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,internetarchive/openlibrary,python,0.5555555555555556,5,9,False,True,46,2,1,1849
134,instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,python,0.5555555555555556,5,9,True,True,46,3,1,1024
135,instance_flipt-io__flipt-7161f7b876773a911afdd804b281e52681cb7321,flipt-io/flipt,go,0.5555555555555556,5,9,True,False,47,3,1,1373
136,instance_internetarchive__openlibrary-7f7e53aa4cf74a4f8549a5bcd4810c527e2f6d7e-v13642507b4fc1f8d234172bf8129942da2c2ca26,internetarchive/openlibrary,python,0.5555555555555556,5,9,True,True,49,1,1,1947
137,instance_internetarchive__openlibrary-a7b7dc5735a1b3a9824376b1b469b556dd413981-va4315b5dc369c1ef66ae22f9ae4267aa3114e1b3,internetarchive/openlibrary,python,0.5555555555555556,5,9,True,False,49,2,1,940
138,instance_ansible__ansible-a20a52701402a12f91396549df04ac55809f68e9-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,python,0.5555555555555556,5,9,True,False,50,2,1,1102
139,instance_ansible__ansible-de01db08d00c8d2438e1ba5989c313ba16a145b0-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,python,0.5555555555555556,5,9,True,True,51,3,1,1062
140,instance_internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070-v8717e18970bcdc4e0d2cea3b1527752b21e74866,internetarchive/openlibrary,python,0.5555555555555556,5,9,False,True,54,6,1,621
141,instance_flipt-io__flipt-1dceb5edf3fa8f39495b939ef9cc0c3dd38fa17d,flipt-io/flipt,go,0.5555555555555556,5,9,True,True,61,2,1,732
142,instance_future-architect__vuls-f0b3a8b1db98eb1bd32685f1c36c41a99c3452ed,future-architect/vuls,go,0.5555555555555556,5,9,True,True,64,6,1,1015
143,instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,ansible/ansible,python,0.5555555555555556,5,9,True,False,72,3,1,1959
144,instance_internetarchive__openlibrary-0d13e6b4bf80bced6c0946b969b9a1b6963f6bce-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,internetarchive/openlibrary,python,0.5555555555555556,5,9,True,False,75,1,1,1615
145,instance_future-architect__vuls-73f0adad95c4d227e2ccfa876c85cc95dd065e13,future-architect/vuls,go,0.5555555555555556,5,9,True,True,76,4,1,1079
146,instance_NodeBB__NodeBB-f9ce92df988db7c1ae55d9ef96d247d27478bc70-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,js,0.5555555555555556,5,9,True,False,82,1,1,825
147,instance_internetarchive__openlibrary-757fcf46c70530739c150c57b37d6375f155dc97-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,python,0.5555555555555556,5,9,True,True,90,4,1,1311
148,instance_ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39-v30a923fb5c164d6cd18280c02422f75e611e8fb2,ansible/ansible,python,0.5555555555555556,5,9,True,False,96,2,1,2265
149,instance_internetarchive__openlibrary-62d2243131a9c7e6aee00d1e9c5660fd5b594e89-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,internetarchive/openlibrary,python,0.5555555555555556,5,9,True,False,100,2,1,1131
150,instance_flipt-io__flipt-0b119520afca1cf25c470ff4288c464d4510b944,flipt-io/flipt,go,0.5555555555555556,5,9,True,True,119,3,1,1354
151,instance_future-architect__vuls-6682232b5c8a9d08c0e9f15bd90d41bff3875adc,future-architect/vuls,go,0.5555555555555556,5,9,True,True,145,4,1,784
152,instance_navidrome__navidrome-31799662706fedddf5bcc1a76b50409d1f91d327,navidrome/navidrome,go,0.5555555555555556,5,9,True,True,163,9,1,779
153,instance_NodeBB__NodeBB-bd80d36e0dcf78cd4360791a82966078b3a07712-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,NodeBB/NodeBB,js,0.5555555555555556,5,9,False,True,241,4,1,1039
154,instance_future-architect__vuls-d576b6c6c15e56c47cc3e26f5878867677d4a9ea,future-architect/vuls,go,0.5555555555555556,5,9,True,False,270,8,1,1208
155,instance_tutao__tutanota-befce4b146002b9abc86aa95f4d57581771815ce-vee878bb72091875e912c52fc32bc60ec3760227b,tutao/tutanota,ts,0.5555555555555556,5,9,True,False,460,8,1,688
156,instance_internetarchive__openlibrary-7cbfb812ef0e1f9716e2d6e85d538a96fcb79d13-vfa6ff903cb27f336e17654595dd900fa943dcd91,internetarchive/openlibrary,python,0.5555555555555556,5,9,True,False,553,5,1,1493
157,instance_NodeBB__NodeBB-76c6e30282906ac664f2c9278fc90999b27b1f48-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,js,0.5555555555555556,5,9,True,False,620,106,1,1054
158,instance_element-hq__element-web-33e8edb3d508d6eefb354819ca693b7accc695e7,element-hq/element-web,js,0.5555555555555556,5,9,True,False,1236,9,1,1730
159,instance_protonmail__webclients-6f8916fbadf1d1f4a26640f53b5cf7f55e8bedb7,protonmail/webclients,js,0.5,4,8,True,False,26,2,1,1060
160,instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,python,0.5,4,8,True,True,26,3,1,1874
161,instance_internetarchive__openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,internetarchive/openlibrary,python,0.5,4,8,False,True,28,2,1,1017
162,instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,python,0.5,4,8,True,False,38,4,1,1074
163,instance_element-hq__element-web-53b42e321777a598aaf2bb3eab22d710569f83a8-vnan,element-hq/element-web,js,0.5,4,8,True,True,39,4,1,794
164,instance_ansible__ansible-cb94c0cc550df9e98f1247bc71d8c2b861c75049-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,python,0.5,4,8,True,False,43,5,1,1580
165,instance_gravitational__teleport-2be514d3c33b0ae9188e11ac9975485c853d98bb-vce94f93ad1030e3136852817f2423c1b3ac37bc4,gravitational/teleport,go,0.5,3,6,False,,44,4,1,1048
166,instance_gravitational__teleport-b1bcd8b90c474a35bb11cc3ef4cc8941e1f8eab2-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,0.5,4,8,True,True,56,1,1,1307
167,instance_ansible__ansible-be2c376ab87e3e872ca21697508f12c6909cf85a-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,python,0.5,4,8,True,True,59,2,1,1125
168,instance_tutao__tutanota-4b4e45949096bb288f2b522f657610e480efa3e8-vee878bb72091875e912c52fc32bc60ec3760227b,tutao/tutanota,ts,0.5,4,8,True,True,75,2,1,1448
169,instance_protonmail__webclients-1501eb765873b2884b6f1944fd242ecfc9d6b103,protonmail/webclients,js,0.5,4,8,True,False,78,8,1,1111
170,instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,ansible/ansible,python,0.5,4,8,True,False,90,3,1,1223
171,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,0.5,4,8,True,True,104,2,1,1358
172,instance_ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,python,0.5,2,4,True,,105,4,1,1132
173,instance_NodeBB__NodeBB-8ca65b0c78c67c1653487c02d1135e1b702185e1-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,js,0.5,4,8,False,True,109,3,1,961
174,instance_qutebrowser__qutebrowser-66cfa15c372fa9e613ea5a82d3b03e4609399fb6-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,python,0.5,4,8,True,False,126,5,1,1458
175,instance_protonmail__webclients-bf2e89c0c488ae1a87d503e5b09fe9dd2f2a635f,protonmail/webclients,js,0.5,4,8,True,False,128,8,1,1185
176,instance_gravitational__teleport-37c3724d0d6637e959e39408ee351565d73afe71-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,0.5,4,8,True,False,137,1,1,946
177,instance_gravitational__teleport-ad41b3c15414b28a6cec8c25424a19bfa7abd0e9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,0.5,4,8,True,True,154,4,1,1321
178,instance_qutebrowser__qutebrowser-bedc9f7fadf93f83d8dee95feeecb9922b6f063f-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,python,0.5,4,8,True,False,164,4,1,912
179,instance_qutebrowser__qutebrowser-e15d26630934d0b6415ed2295ac42fd570a57620-va0fd88aac89cde702ec1ba84877234da33adce8a,qutebrowser/qutebrowser,python,0.4444444444444444,4,9,False,True,32,3,1,916
180,instance_element-hq__element-web-f0359a5c180b8fec4329c77adcf967c8d3b7b787-vnan,element-hq/element-web,js,0.4444444444444444,4,9,False,True,32,5,1,870
181,instance_future-architect__vuls-be7b9114cc9545e68fb0ee7bc63d7ec53d1a00ad,future-architect/vuls,go,0.4444444444444444,4,9,False,False,34,3,1,748
182,instance_NodeBB__NodeBB-05f2236193f407cf8e2072757fbd6bb170bc13f0-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,NodeBB/NodeBB,js,0.4444444444444444,4,9,False,True,35,1,1,1027
183,instance_ansible__ansible-d62496fe416623e88b90139dc7917080cb04ce70-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,python,0.4444444444444444,4,9,True,True,35,3,1,1848
184,instance_flipt-io__flipt-2eac0df47b5ecc8bb05002d80383ceb08ab3620a,flipt-io/flipt,go,0.4444444444444444,4,9,True,True,36,2,1,1414
185,instance_element-hq__element-web-ee13e23b156fbad9369d6a656c827b6444343d4f-vnan,element-hq/element-web,js,0.4444444444444444,4,9,True,False,40,1,1,950
186,instance_element-hq__element-web-27139ca68eb075a4438c18fca184887002a4ffbc-vnan,element-hq/element-web,js,0.4444444444444444,4,9,True,False,40,2,1,578
187,instance_element-hq__element-web-5e8488c2838ff4268f39db4a8cca7d74eecf5a7e-vnan,element-hq/element-web,js,0.4444444444444444,4,9,True,True,43,1,1,1160
188,instance_internetarchive__openlibrary-fad4a40acf5ff5f06cd7441a5c7baf41a7d81fe4-vfa6ff903cb27f336e17654595dd900fa943dcd91,internetarchive/openlibrary,python,0.4444444444444444,4,9,True,False,43,2,1,1208
189,instance_NodeBB__NodeBB-82562bec444940608052f3e4149e0c61ec80bf3f-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,js,0.4444444444444444,4,9,True,False,49,2,1,945
190,instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,python,0.4444444444444444,4,9,True,True,49,5,1,760
191,instance_qutebrowser__qutebrowser-0d2afd58f3d0e34af21cee7d8a3fc9d855594e9f-vnan,qutebrowser/qutebrowser,python,0.4444444444444444,4,9,True,False,50,4,1,1772
192,instance_future-architect__vuls-a76302c11174ca081f656c63a000ffa746e350af,future-architect/vuls,go,0.4444444444444444,4,9,True,True,52,4,1,1031
193,instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,tutao/tutanota,ts,0.4444444444444444,4,9,False,False,56,6,1,914
194,instance_element-hq__element-web-72a8f8f03b1a01bb70ef8a5bb61759416991b32c-vnan,element-hq/element-web,js,0.4444444444444444,4,9,False,True,57,3,1,1010
195,instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan,element-hq/element-web,js,0.4444444444444444,4,9,True,False,59,2,1,840
196,instance_ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,python,0.4444444444444444,4,9,True,True,61,2,1,660
197,instance_qutebrowser__qutebrowser-3d01c201b8aa54dd71d4f801b1dd12feb4c0a08a-v5fc38aaf22415ab0b70567368332beee7955b367,qutebrowser/qutebrowser,python,0.4444444444444444,4,9,False,False,63,3,1,1017
198,instance_element-hq__element-web-923ad4323b2006b2b180544429455ffe7d4a6cc3-vnan,element-hq/element-web,js,0.4444444444444444,4,9,True,False,68,5,1,580
199,instance_internetarchive__openlibrary-1351c59fd43689753de1fca32c78d539a116ffc1-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,internetarchive/openlibrary,python,0.4444444444444444,4,9,True,False,73,3,1,1672
200,instance_navidrome__navidrome-3977ef6e0f287f598b6e4009876239d6f13b686d,navidrome/navidrome,go,0.4444444444444444,4,9,True,False,82,5,1,738
